primary_type,date,value
ARSON,2020-11-10,1
ARSON,2021-03-15,1
ARSON,2021-08-27,1
ARSON,2021-10-14,1
ARSON,2021-11-15,1
ARSON,2021-12-05,1
ARSON,2021-12-16,1
ARSON,2021-12-25,1
ARSON,2021-12-27,1
ARSON,2022-01-12,1
ARSON,2022-02-13,1
ARSON,2022-02-23,1
ARSON,2022-04-11,1
ARSON,2022-06-16,1
ARSON,2022-06-20,1
ARSON,2022-06-26,1
ARSON,2022-09-11,1
ARSON,2022-10-15,1
ARSON,2022-11-16,1
ARSON,2022-12-23,1
ARSON,2022-12-31,1
ARSON,2023-01-01,1
ARSON,2023-01-02,4
ARSON,2023-01-03,1
ARSON,2023-01-04,3
ARSON,2023-01-06,1
ARSON,2023-01-07,1
ARSON,2023-01-09,2
ARSON,2023-01-10,2
ARSON,2023-01-13,1
ARSON,2023-01-14,1
ARSON,2023-01-16,2
ARSON,2023-01-17,4
ARSON,2023-01-18,5
ARSON,2023-01-19,2
ARSON,2023-01-20,1
ARSON,2023-01-21,1
ARSON,2023-01-22,2
ARSON,2023-01-23,2
ARSON,2023-01-24,2
ARSON,2023-01-26,1
ARSON,2023-01-27,1
ARSON,2023-01-29,1
ARSON,2023-01-30,3
ARSON,2023-01-31,2
ARSON,2023-02-01,3
ARSON,2023-02-02,3
ARSON,2023-02-03,1
ARSON,2023-02-04,3
ARSON,2023-02-05,3
ARSON,2023-02-07,1
ARSON,2023-02-08,1
ARSON,2023-02-09,1
ARSON,2023-02-10,2
ARSON,2023-02-13,1
ARSON,2023-02-14,1
ARSON,2023-02-15,2
ARSON,2023-02-16,1
ARSON,2023-02-17,1
ARSON,2023-02-18,2
ARSON,2023-02-19,1
ARSON,2023-02-20,1
ARSON,2023-02-21,1
ARSON,2023-02-22,1
ARSON,2023-02-25,1
ARSON,2023-02-26,1
ARSON,2023-02-27,1
ARSON,2023-03-04,2
ARSON,2023-03-05,1
ARSON,2023-03-09,2
ARSON,2023-03-11,1
ARSON,2023-03-12,2
ARSON,2023-03-16,1
ARSON,2023-03-17,2
ARSON,2023-03-19,1
ARSON,2023-03-22,1
ARSON,2023-03-23,3
ARSON,2023-03-24,2
ARSON,2023-03-25,1
ARSON,2023-03-26,3
ARSON,2023-03-28,2
ARSON,2023-03-29,2
ARSON,2023-03-30,3
ARSON,2023-04-02,1
ARSON,2023-04-03,2
ARSON,2023-04-04,2
ARSON,2023-04-05,1
ARSON,2023-04-08,2
ARSON,2023-04-09,2
ARSON,2023-04-10,1
ARSON,2023-04-12,3
ARSON,2023-04-13,1
ARSON,2023-04-14,2
ARSON,2023-04-16,1
ARSON,2023-04-18,1
ARSON,2023-04-20,3
ARSON,2023-04-22,1
ARSON,2023-04-23,3
ARSON,2023-04-24,3
ARSON,2023-04-25,4
ARSON,2023-04-26,1
ARSON,2023-04-27,1
ARSON,2023-04-30,1
ARSON,2023-05-02,1
ARSON,2023-05-03,4
ARSON,2023-05-05,2
ARSON,2023-05-06,3
ARSON,2023-05-07,1
ARSON,2023-05-11,1
ARSON,2023-05-12,3
ARSON,2023-05-13,5
ARSON,2023-05-14,2
ARSON,2023-05-15,1
ARSON,2023-05-16,3
ARSON,2023-05-17,1
ARSON,2023-05-19,2
ARSON,2023-05-20,2
ARSON,2023-05-22,4
ARSON,2023-05-23,1
ARSON,2023-05-24,1
ARSON,2023-05-25,2
ARSON,2023-05-27,4
