date,value
4/14/13,6
4/15/13,14
4/16/13,20
4/17/13,4
4/18/13,9
4/19/13,10
4/20/13,10
4/21/13,7
4/22/13,15
4/23/13,10
4/24/13,16
4/25/13,13
4/26/13,16
4/27/13,11
4/28/13,7
4/29/13,12
4/30/13,11
5/1/13,37
5/2/13,10
5/3/13,12
5/4/13,11
5/5/13,9
5/6/13,16
5/7/13,10
5/8/13,11
5/9/13,15
5/10/13,11
5/11/13,10
5/12/13,13
5/13/13,15
5/14/13,7
5/15/13,23
5/16/13,18
5/17/13,18
5/18/13,16
5/19/13,11
5/20/13,11
5/21/13,10
5/22/13,15
5/23/13,17
5/24/13,15
5/25/13,8
5/26/13,10
5/27/13,9
5/28/13,14
5/29/13,10
5/30/13,15
5/31/13,15
6/1/13,68
6/2/13,12
6/3/13,12
6/4/13,15
6/5/13,23
6/6/13,14
6/7/13,12
6/8/13,5
6/9/13,10
6/10/13,12
6/11/13,14
6/12/13,11
6/13/13,13
6/14/13,13
6/15/13,11
6/16/13,14
6/17/13,18
6/18/13,16
6/19/13,8
6/20/13,19
6/21/13,7
6/22/13,12
6/23/13,13
6/24/13,12
6/25/13,11
6/26/13,12
6/27/13,19
6/28/13,10
6/29/13,12
6/30/13,15
7/1/13,44
7/2/13,13
7/3/13,13
7/4/13,8
7/5/13,9
7/6/13,7
7/7/13,16
7/8/13,19
7/9/13,6
7/10/13,15
7/11/13,14
7/12/13,20
7/13/13,13
7/14/13,18
7/15/13,15
7/16/13,11
7/17/13,16
7/18/13,8
7/19/13,15
7/20/13,12
7/21/13,14
7/22/13,19
7/23/13,8
7/24/13,12
7/25/13,10
7/26/13,12
7/27/13,8
7/28/13,11
7/29/13,14
7/30/13,13
7/31/13,17
8/1/13,47
8/2/13,17
8/3/13,9
8/4/13,9
8/5/13,16
8/6/13,21
8/7/13,8
8/8/13,12
8/9/13,8
8/10/13,9
8/11/13,10
8/12/13,12
8/13/13,15
8/14/13,14
8/15/13,11
8/16/13,19
8/17/13,9
8/18/13,13
8/19/13,20
8/20/13,11
8/21/13,6
8/22/13,14
8/23/13,12
8/24/13,12
8/25/13,14
8/26/13,14
8/27/13,9
8/28/13,17
8/29/13,10
8/30/13,19
8/31/13,9
9/1/13,49
9/2/13,25
9/3/13,14
9/4/13,13
9/5/13,23
9/6/13,4
9/7/13,9
9/8/13,13
9/9/13,15
9/10/13,17
9/11/13,18
9/12/13,11
9/13/13,16
9/14/13,16
9/15/13,6
9/16/13,7
9/17/13,13
9/18/13,9
9/19/13,8
9/20/13,7
9/21/13,7
9/22/13,7
9/23/13,14
9/24/13,11
9/25/13,13
9/26/13,10
9/27/13,11
9/28/13,18
9/29/13,8
9/30/13,12
10/1/13,53
10/2/13,12
10/3/13,12
10/4/13,8
10/5/13,13
10/6/13,10
10/7/13,14
10/8/13,13
10/9/13,13
10/10/13,12
10/11/13,18
10/12/13,10
10/13/13,15
10/14/13,9
10/15/13,6
10/16/13,15
10/17/13,5
10/18/13,21
10/19/13,15
10/20/13,13
10/21/13,11
10/22/13,9
10/23/13,8
10/24/13,14
10/25/13,12
10/26/13,15
10/27/13,9
10/28/13,15
10/29/13,12
10/30/13,7
10/31/13,18
11/1/13,51
11/2/13,14
11/3/13,9
11/4/13,19
11/5/13,14
11/6/13,11
11/7/13,16
11/8/13,14
11/9/13,11
11/10/13,15
11/11/13,6
11/12/13,16
11/13/13,21
11/14/13,8
